City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
522,Sao Joao Da Barra,BR,87.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
525,Ambon,ID,82.0,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
528,Ailigandi,PA,82.85,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
530,Waddan,LY,89.22,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
531,Les Cayes,HT,85.1,broken clouds,18.2,-73.75,Villa Orphee
532,Pochutla,MX,86.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
533,Tagusao,PH,79.79,overcast clouds,9.1924,117.8141,Green Villa beach resort
539,Nampula,MZ,71.55,clear sky,-15.1165,39.2666,Ruby Backpackers
545,Port-Gentil,GA,82.36,few clouds,-0.7193,8.7815,Fengshui Residence
550,Mount Pleasant,US,80.31,few clouds,32.7941,-79.8626,Best Western Patriots Point
552,Payyannur,IN,84.0,overcast clouds,12.1,75.2,Kavvayi Beach House
553,Luwuk,ID,77.58,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
554,Dubai,AE,84.45,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
555,Aguimes,ES,70.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
559,Axim,GH,83.3,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
561,Marsh Harbour,BS,71.01,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
571,Mangrol,IN,83.34,clear sky,21.1167,70.1167,Hotel The Royal Honours
585,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
587,Jerantut,MY,75.4,overcast clouds,3.936,102.3626,Jerantut Hill Resort
593,Tomatlan,MX,88.41,clear sky,19.9333,-105.25,El Salvial
595,Carutapera,BR,78.46,heavy intensity rain,-1.195,-46.02,Lidera
597,Porto Seguro,BR,82.92,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
598,Ampanihy,MG,70.93,clear sky,-24.7,44.75,Angora Hotel
600,Loubomo,CG,73.18,overcast clouds,-4.1997,12.6739,La Dolisienne
605,Palu,ID,76.44,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
606,Majene,ID,78.51,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
610,Tra Vinh,VN,78.82,overcast clouds,9.9347,106.3453,Hồng Ân
613,Itaituba,BR,89.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
617,Manggar,ID,80.28,scattered clouds,-2.8833,108.2667,Guest Hotel
619,Khorramshahr,IR,85.95,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
627,Atambua,ID,73.2,broken clouds,-9.1061,124.8925,Kost Alfa Flat
630,Sao Felix Do Xingu,BR,85.24,broken clouds,-6.6447,-51.995,Rio Xingu Camping
631,Sao Luiz Gonzaga,BR,71.38,light rain,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
632,Isabela,PH,79.68,overcast clouds,6.7085,121.9711,Isawad Resort
643,Jacareacanga,BR,86.22,broken clouds,-6.2222,-57.7528,Casa do Ian😎
648,Miramar,US,84.22,few clouds,25.9873,-80.2323,Stadium Hotel
649,Ranong,TH,80.11,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
650,Lalawigan,PH,79.21,scattered clouds,11.5892,125.4697,Palms Apartment
655,Cozumel,MX,86.95,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
658,Celestun,MX,86.56,clear sky,20.8667,-90.4,Posada Lilia
664,Aguas Verdes,PE,86.27,scattered clouds,-3.4814,-80.245,Sol Del Sur Hotel
