City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
317,Ukhta,63.5671,53.6835,24.3,overcast clouds,91,92,3.42,RU
318,Kargasok,59.0556,80.8572,32.34,broken clouds,72,84,8.23,RU
319,Qandala,11.472,49.8728,87.78,broken clouds,62,57,5.12,SO
320,Baijiantan,45.6333,85.1833,69.22,scattered clouds,12,34,9.89,CN
321,Beri,25.9031,79.8902,99.01,clear sky,11,3,8.01,IN
322,Guapi,2.5708,-77.8854,82.65,moderate rain,83,90,4.92,CO
323,Carnarvon,-24.8667,113.6333,68.07,scattered clouds,49,31,9.22,AU
324,Linkoping,58.4109,15.6216,53.58,clear sky,40,0,3.44,SE
325,Boddam,57.4667,-1.7833,48.58,light rain,86,100,16.91,GB
326,Yakeshi,49.2833,120.7333,30.9,clear sky,51,6,3.62,CN
327,Mersing,2.4312,103.8405,78.71,scattered clouds,94,40,4.61,MY
328,Esso,55.9333,158.7,13.37,clear sky,90,7,3.74,RU
329,Tautira,-17.7333,-149.15,79.65,light rain,75,17,15.3,PF
330,Qeshm,26.9581,56.2719,82.29,clear sky,65,0,29.39,IR
331,Tamiahua,21.2667,-97.45,82.87,broken clouds,77,68,7.49,MX
332,Kavaratti,10.5669,72.642,85.75,overcast clouds,71,88,11.88,IN
333,Khani,41.9563,42.9566,45.97,overcast clouds,95,99,2.51,GE
334,Klaksvik,62.2266,-6.589,49.12,overcast clouds,86,98,9.1,FO
335,Qaqortoq,60.7167,-46.0333,42.01,scattered clouds,72,44,4.52,GL
336,Ojinaga,29.5667,-104.4167,89.56,clear sky,11,0,5.75,MX
337,Paidha,2.4167,30.9855,65.98,overcast clouds,77,99,1.77,UG
338,Hamilton,39.1834,-84.5333,69.98,overcast clouds,73,100,8.05,US
339,Popondetta,-8.7537,148.2534,72.75,overcast clouds,96,98,2.91,PG
340,Thyolo,-16.0678,35.1405,60.35,clear sky,81,1,1.9,MW
341,Kaitangata,-46.2817,169.8464,48.7,scattered clouds,89,28,5.23,NZ
342,Brufut,13.3814,-16.7518,84.29,scattered clouds,48,46,10.36,GM
343,Lewistown,40.5992,-77.5714,67.15,clear sky,57,0,5.75,US
